Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,tissue
SRR3734796,1 Month,RNA-Seq,100,1185155300,PRJNA327433,SAMN05335344,795291445,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890413,GSM2221813,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221813,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734797,1 Month,RNA-Seq,100,1343438500,PRJNA327433,SAMN05335333,831435718,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890414,GSM2221814,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221814,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734798,1 Month,RNA-Seq,100,1253398100,PRJNA327433,SAMN05335334,780905900,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890415,GSM2221815,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:36:00Z,1,GSM2221815,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734799,1 Month,RNA-Seq,100,1367809300,PRJNA327433,SAMN05335335,925688546,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890416,GSM2221816,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221816,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734800,1 Month,RNA-Seq,100,1346934100,PRJNA327433,SAMN05335336,910318881,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890417,GSM2221817,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221817,female,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734801,1 Month,RNA-Seq,100,483841900,PRJNA327433,SAMN05335337,325089607,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX1890418,GSM2221818,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:31:00Z,1,GSM2221818,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734802,1 Month,RNA-Seq,100,1407945700,PRJNA327433,SAMN05335338,868505355,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX1890419,GSM2221819,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221819,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734803,1 Month,RNA-Seq,100,1210422000,PRJNA327433,SAMN05335339,747744359,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX1890420,GSM2221820,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221820,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734804,1 Month,RNA-Seq,100,1589418900,PRJNA327433,SAMN05335340,1076150173,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1890421,GSM2221821,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:34:00Z,1,GSM2221821,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
SRR3734805,1 Month,RNA-Seq,100,1315150100,PRJNA327433,SAMN05335341,887269899,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1890422,GSM2221822,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-03-25T00:00:00Z,2016-06-30T17:33:00Z,1,GSM2221822,male,Hippocampus,SRP077669,C57BL/6J,Hippocampus
